Depth_mean,Depth_min,Depth_max,Qf,valid,slope,phasedetect,Lat,Lon,Sog,Cog,Roll,Pitch,Heave,Head
-123.25,-122.5,-124.43,2.9233571922779085,100.0,0.24,88.5,46.1338681,-3.2679178,6.200863936242647,337.38,0.41,-0.28,-0.15,338.78
-123.3,-122.61,-124.63,2.919115265607834,100.0,0.26,88.0,46.13392435,-3.2679483,6.2203023811838465,337.79,-0.12,0.45,-0.14,338.71
-123.33,-122.56,-124.73,2.9173937141895294,100.0,0.31,86.5,46.13395175,-3.2679652,6.239740826125046,337.83,-1.01,0.53,-0.14,339.09
-123.35,-122.7,-124.9,2.9384260070323944,100.0,0.2,86.0,46.1340049,-3.2679983,6.2591792710662455,337.66,-0.94,0.28,-0.17,339.28
-123.26,-122.58,-125.08,2.9175755190849304,100.0,0.27,86.0,46.1340568,-3.2680284,6.239740826125046,337.62,-0.05,-0.07,-0.0,339.28
-123.5,-122.7,-124.94,2.9205068480968475,100.0,0.23,88.5,46.13321125,-3.2722629,6.667386614831435,161.94,-0.7,0.14,-0.18,160.14
-123.21,-122.44,-124.61,2.9167962259054185,100.0,0.26,88.0,46.1331821,-3.2722467,6.667386614831435,161.67,0.02,0.41,0.07,159.87
-123.06,-122.36,-124.19,2.9177965569496154,100.0,0.17,87.0,46.1331239,-3.2722178,6.686825059772635,161.43,0.53,0.56,0.12,159.6
-122.89,-122.0,-124.32,2.919212740659714,100.0,0.34,88.0,46.13306685,-3.2721926,6.667386614831435,161.53,0.51,-0.35,0.22,159.12
-122.92,-122.26,-124.22,2.926027551293373,100.0,0.25,87.0,46.13301055,-3.2721647,6.628509724949036,161.65,-0.08,-0.51,0.2,159.2
-123.12,-122.42,-124.33,2.9084175705909727,100.0,0.27,88.5,46.1329817,-3.2721492,6.628509724949036,161.56,-0.78,-0.15,-0.07,159.53
-123.41,-122.72,-124.64,2.9200946247577666,100.0,0.26,88.0,46.1329224,-3.2721151,6.628509724949036,161.24,-0.88,0.44,-0.39,159.68
-123.62,-122.87,-125.03,2.920664213895798,100.0,0.28,87.5,46.13286335,-3.2720792,6.667386614831435,160.75,-0.71,0.55,-0.41,159.45
-123.51,-122.77,-125.05,2.9341584920883177,100.0,0.29,88.0,46.13280655,-3.2720452,6.686825059772635,160.31,0.53,0.06,0.1,158.33
-122.92,-122.29,-124.73,2.934470599293709,100.0,0.21,86.0,46.1327509,-3.2720162,6.667386614831435,160.13,0.84,-0.44,0.44,158.28
-122.6,-121.89,-123.66,2.9214772564172744,100.0,0.21,88.0,46.1327226,-3.2720022,6.647948169890236,160.16,0.64,-0.42,0.32,158.65
-123.22,-122.47,-124.95,2.9147657072544098,100.0,0.3,86.0,46.13266435,-3.2719709,6.628509724949036,160.23,0.28,0.12,-0.08,158.82
-123.6,-122.37,-125.47,2.92320537686348,100.0,0.43,89.0,46.13260505,-3.2719368,6.667386614831435,160.0,-0.32,0.61,-0.41,158.69
-123.41,-122.66,-124.9,2.934241671562195,100.0,0.29,86.5,46.1325198,-3.2718869,6.667386614831435,159.68,-0.56,-0.22,-0.1,158.31
-123.26,-122.25,-124.3,2.9285487186908723,100.0,0.28,86.5,46.1324918,-3.2718693,6.667386614831435,159.53,-0.62,-0.12,-0.1,158.32
-123.26,-122.11,-124.66,2.9222977530956267,100.0,0.29,87.5,46.1324351,-3.2718342,6.667386614831435,159.15,-0.19,0.17,0.01,158.22
-123.09,-122.46,-124.53,2.919125496149063,100.0,0.27,87.0,46.1324063,-3.2718176,6.667386614831435,159.02,0.18,0.14,0.14,158.1
-122.93,-122.34,-124.3,2.910305423736572,100.0,0.23,88.0,46.132348,-3.2717868,6.667386614831435,159.03,0.5,0.09,0.19,158.13
-123.22,-122.41,-124.71,2.9245593321323393,100.0,0.27,88.5,46.13229015,-3.2717552,6.667386614831435,159.16,-0.03,0.27,-0.2,158.08
-123.45,-122.7,-124.78,2.9100705087184906,100.0,0.27,88.0,46.13223425,-3.2717197,6.667386614831435,158.95,-0.42,0.18,-0.17,157.84
-122.94,-122.18,-124.21,2.9153078377246855,100.0,0.28,89.0,46.13217865,-3.271685,6.647948169890236,158.58,0.1,-0.35,0.4,157.76
-122.62,-121.95,-123.84,2.9261833691596983,100.0,0.24,86.5,46.13212105,-3.2716534,6.647948169890236,158.53,0.23,-0.44,0.43,157.85
-123.16,-122.4,-124.6,2.9184206491708755,100.0,0.29,89.5,46.1320915,-3.271637,6.647948169890236,158.59,-0.32,0.2,-0.27,158.13
-123.96,-123.09,-125.29,2.927180699110031,100.0,0.27,88.0,46.13203285,-3.2716001,6.667386614831435,158.54,-1.02,0.62,-0.86,157.88
-123.8,-122.93,-125.03,2.9140389758348464,100.0,0.27,88.5,46.131977,-3.2715599,6.686825059772635,157.99,-0.22,0.35,-0.16,157.4
-122.71,-121.75,-124.64,2.904936572313309,100.0,0.26,88.0,46.1319217,-3.2715265,6.686825059772635,157.61,0.64,-0.11,0.43,157.32
-122.35,-121.54,-123.84,2.9405860078334807,100.0,0.28,89.0,46.13186425,-3.2714987,6.647948169890236,157.93,1.36,-0.35,0.61,157.55
-123.29,-122.3,-124.9,2.9187004446983336,100.0,0.43,87.0,46.13183535,-3.2714828,6.647948169890236,158.17,-0.36,-0.02,-0.46,157.77
-123.92,-122.85,-125.61,2.9394221180677413,100.0,0.3,86.5,46.1317787,-3.2714426,6.667386614831435,158.0,-1.95,0.1,-0.66,157.92
-123.46,-122.52,-125.05,2.9087595611810686,100.0,0.25,89.0,46.13172205,-3.2713991,6.686825059772635,157.2,-0.59,0.39,0.11,157.88
-122.71,-122.06,-123.7,2.929192819595337,100.0,0.22,86.0,46.13166395,-3.2713641,6.706263504713834,156.84,1.38,0.49,0.47,157.77
-122.53,-121.49,-124.15,2.921292725801468,100.0,0.33,87.0,46.1316067,-3.2713353,6.706263504713834,157.25,1.47,0.27,0.43,157.71
